Name	Start	Duration	Time Format	Type	Description
r	3:11.363	0:00.000	decimal	Cue	
l	3:11.773	0:00.000	decimal	Cue	
ru	3:12.083	0:00.916	decimal	Cue	
r	3:12.601	0:00.000	decimal	Cue	
ld	3:13.000	0:01.816	decimal	Cue	
l	3:13.414	0:00.000	decimal	Cue	
rd	3:13.579	0:01.788	decimal	Cue	
r	3:14.214	0:00.000	decimal	Cue	
l	3:15.042	0:00.000	decimal	Cue	
lu	3:15.042	0:00.820	decimal	Cue	
r	3:15.863	0:00.000	decimal	Cue	
rd	3:16.244	0:02.002	decimal	Cue	
l	3:16.245	0:00.000	decimal	Cue	
l	3:16.457	0:00.000	decimal	Cue	
l	3:16.681	0:00.000	decimal	Cue	
ld	3:16.984	0:01.688	decimal	Cue	
r	3:17.063	0:00.000	decimal	Cue	
r	3:17.252	0:00.000	decimal	Cue	
r	3:17.475	0:00.000	decimal	Cue	
l	3:17.879	0:00.000	decimal	Cue	
r	3:17.880	0:00.000	decimal	Cue	
l	3:19.113	0:00.000	decimal	Cue	
l	3:19.913	0:00.000	decimal	Cue	
l	3:20.323	0:00.000	decimal	Cue	
r	3:20.742	0:00.000	decimal	Cue	
lu	3:20.886	0:01.517	decimal	Cue	
ru	3:20.886	0:01.517	decimal	Cue	
r	3:21.172	0:00.000	decimal	Cue	
r	3:21.769	0:00.000	decimal	Cue	
r	3:22.404	0:00.000	decimal	Cue	
l	3:22.804	0:00.000	decimal	Cue	
l	3:22.992	0:00.000	decimal	Cue	
l	3:23.224	0:00.000	decimal	Cue	
rd	3:23.400	0:00.655	decimal	Cue	
lu	3:23.400	0:00.655	decimal	Cue	
r	3:23.604	0:00.000	decimal	Cue	
r	3:23.796	0:00.000	decimal	Cue	
r	3:24.024	0:00.000	decimal	Cue	
ru	3:24.224	0:01.039	decimal	Cue	
ld	3:24.224	0:01.039	decimal	Cue	
l	3:24.443	0:00.000	decimal	Cue	
r	3:24.868	0:00.000	decimal	Cue	
r	3:25.263	0:00.000	decimal	Cue	
l	3:25.679	0:00.000	decimal	Cue	
r	3:26.487	0:00.000	decimal	Cue	
lu	3:26.801	0:01.111	decimal	Cue	
l	3:27.302	0:00.000	decimal	Cue	
rd	3:27.432	0:01.506	decimal	Cue	
l	3:28.319	0:00.000	decimal	Cue	
r	3:28.439	0:00.000	decimal	Cue	
l	3:28.528	0:00.000	decimal	Cue	
l	3:28.705	0:00.000	decimal	Cue	
l	3:28.939	0:00.000	decimal	Cue	
ld	3:29.934	0:00.998	decimal	Cue	
r	3:30.054	0:00.000	decimal	Cue	
l	3:30.137	0:00.000	decimal	Cue	
r	3:30.315	0:00.000	decimal	Cue	
l	3:30.539	0:00.000	decimal	Cue	
ru	3:30.933	0:00.630	decimal	Cue	
lu	3:31.363	0:00.782	decimal	Cue	
ru	3:31.791	0:00.599	decimal	Cue	
ld	3:32.613	0:00.517	decimal	Cue	
rd	3:32.613	0:00.517	decimal	Cue	
ru	3:33.209	0:01.008	decimal	Cue	
lu	3:33.209	0:01.008	decimal	Cue	
l	3:33.448	0:00.000	decimal	Cue	
r	3:33.448	0:00.000	decimal	Cue	
l	3:34.299	0:00.000	decimal	Cue	
rd	3:34.299	0:08.116	decimal	Cue	
ld	3:34.299	0:08.116	decimal	Cue	
r	3:34.299	0:00.000	decimal	Cue	
